03-09 19:41:59.594 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719580, 1489059719604, 1489059719611
03-09 19:41:59.604 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719603, 1489059719615, 1489059719622
03-09 19:41:59.984 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1796, 1489059720003
03-09 19:41:59.984 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1878, 1489059720003
03-09 19:41:59.994 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1796, 1489059720003
03-09 19:41:59.994 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1878, 1489059720006
03-09 19:42:00.004 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720003, 1489059720017, 1489059720022
03-09 19:42:00.024 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1907, 1489059720034
03-09 19:42:00.024 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1907, 1489059720034
03-09 19:42:00.024 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720006, 1489059720028, 1489059720035
03-09 19:42:00.044 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720034, 1489059720053, 1489059720058
03-09 19:42:00.054 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1929, 1489059720066
03-09 19:42:00.054 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1929, 1489059720071
03-09 19:42:00.074 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720071, 1489059720083, 1489059720092
03-09 19:42:00.084 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1953, 1489059720097
03-09 19:42:00.084 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1953, 1489059720097
03-09 19:42:00.084 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1988, 1489059720102
03-09 19:42:00.094 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2012, 1489059720103
03-09 19:42:00.094 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1988, 1489059720103
03-09 19:42:00.094 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2012, 1489059720105
03-09 19:42:00.094 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2067, 1489059720106
03-09 19:42:00.094 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2167, 1489059720107
03-09 19:42:00.094 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2067, 1489059720107
03-09 19:42:00.094 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2167, 1489059720110
03-09 19:42:00.094 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720097, 1489059720110, 1489059720113
03-09 19:42:00.114 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720105, 1489059720124, 1489059720124
03-09 19:42:00.124 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720107, 1489059720131, 1489059720136
03-09 19:42:00.134 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720110, 1489059720139, 1489059720146
03-09 19:42:00.184 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2267, 1489059720194
03-09 19:42:00.184 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2267, 1489059720194
03-09 19:42:00.194 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720194, 1489059720206, 1489059720209
03-09 19:42:00.244 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2367, 1489059720263
03-09 19:42:00.254 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2367, 1489059720264
03-09 19:42:00.264 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720264, 1489059720275, 1489059720281
03-09 19:42:00.364 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2401, 1489059720380
03-09 19:42:00.364 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2401, 1489059720380
03-09 19:42:00.384 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2501, 1489059720393
03-09 19:42:00.384 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2501, 1489059720394
03-09 19:42:00.384 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720380, 1489059720391, 1489059720394
03-09 19:42:00.404 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720394, 1489059720409, 1489059720417
03-09 19:42:00.484 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2601, 1489059720500
03-09 19:42:00.484 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2601, 1489059720501
