03-09 20:24:01.294 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1490, 1489062241304
03-09 20:24:01.314 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241304, 1489062241315, 1489062241324
03-09 20:24:01.334 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1529, 1489062241340
03-09 20:24:01.334 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1529, 1489062241340
03-09 20:24:01.344 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1548, 1489062241354
03-09 20:24:01.344 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1548, 1489062241354
03-09 20:24:01.344 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241340, 1489062241352, 1489062241356
03-09 20:24:01.354 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241354, 1489062241366, 1489062241368
03-09 20:24:01.404 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1589, 1489062241417
03-09 20:24:01.404 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1589, 1489062241417
03-09 20:24:01.414 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241417, 1489062241430, 1489062241431
03-09 20:24:01.434 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1630, 1489062241447
03-09 20:24:01.434 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1630, 1489062241448
03-09 20:24:01.454 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241448, 1489062241461, 1489062241462
03-09 20:24:01.484 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1649, 1489062241496
